shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
22_shp,25.74434398,-100.3222856,45
22_shp,25.74614628,-100.3221622,46
22_shp,25.74800171,-100.3221032,47
22_shp,25.74853804,-100.3220308,48
22_shp,25.75279235,-100.3204644,49
22_shp,25.75555841,-100.3203785,50
22_shp,25.75712622,-100.32029,51
22_shp,25.75765043,-100.3203812,52
22_shp,25.76204693,-100.3218564,53
22_shp,25.76357601,-100.3224358,54
22_shp,25.76383689,-100.3221434,55
22_shp,25.76402531,-100.3205073,56
27_shp,25.76523309,-100.3054252,1
27_shp,25.76395767,-100.3056505,2
27_shp,25.76328372,-100.3056988,3
27_shp,25.76137539,-100.3059697,4
27_shp,25.76067969,-100.3061199,5
27_shp,25.75935832,-100.3063264,6
27_shp,25.75841621,-100.3065115,7
27_shp,25.75589662,-100.307453,8
27_shp,25.75026056,-100.3095451,9
27_shp,25.74588053,-100.3111839,10
27_shp,25.736702,-100.3143597,11
27_shp,25.73108195,-100.3163016,12
27_shp,25.73081616,-100.3164947,13
27_shp,25.72992698,-100.3133512,14
27_shp,25.73044889,-100.3095853,15
27_shp,25.7338606,-100.3046608,16
27_shp,25.73959166,-100.3025901,17
27_shp,25.75239616,-100.2980089,18
27_shp,25.76479346,-100.2931595,19
27_shp,25.77410749,-100.2889001,20
27_shp,25.78037763,-100.2860677,21
27_shp,25.7811505,-100.2881813,22
27_shp,25.78152728,-100.2914321,23
27_shp,25.78197168,-100.2951229,24
27_shp,25.7838362,-100.2997363,25
27_shp,25.78594221,-100.3016245,26
27_shp,25.78471532,-100.3031695,27
27_shp,25.77791405,-100.3040063,28
27_shp,25.77494804,-100.3043711,29
27_shp,25.76948921,-100.3049183,30
27_shp,25.76704474,-100.3053474,31
34a_shp,25.71663675,-100.3108406,1
34a_shp,25.72352852,-100.3088021,2
34a_shp,25.7234222,-100.3108513,3
34a_shp,25.72368317,-100.3136301,4
34a_shp,25.72370251,-100.3161407,5
34a_shp,25.72299692,-100.3169882,6
34a_shp,25.72113143,-100.316956,7
34a_shp,25.71794168,-100.3169775,8
34a_shp,25.71597945,-100.3169346,9
34a_shp,25.71155225,-100.3168702,10
34a_shp,25.70867158,-100.3168702,11
34a_shp,25.7067382,-100.316838,12
34a_shp,25.70298736,-100.3166664,13
34a_shp,25.6999518,-100.3169131,14
34a_shp,25.69710952,-100.3169131,15
34a_shp,25.69034191,-100.3168488,16
34a_shp,25.68662922,-100.3177714,17
34a_shp,25.68399934,-100.3180718,18
34a_shp,25.67866204,-100.3188229,19
34a_shp,25.67761775,-100.3199279,20
34a_shp,25.67740503,-100.3228784,21
34a_shp,25.67580958,-100.3230608,22
34a_shp,25.67373062,-100.3233397,23
34a_shp,25.67111012,-100.3233075,24
34a_shp,25.67067498,-100.3191555,25
34a_shp,25.67209644,-100.3188658,26
34a_shp,25.67539379,-100.3183722,27
34a_shp,25.67716329,-100.3181577,28
34a_shp,25.68116634,-100.3176105,29
34a_shp,25.68243298,-100.3174281,30
34a_shp,25.68584606,-100.3169346,31
34a_shp,25.69006152,-100.3166717,32
34a_shp,25.69448953,-100.3167361,33
34a_shp,25.69712402,-100.3167576,34
34a_shp,25.69996147,-100.3167361,35
34a_shp,25.70183695,-100.3162318,36
34a_shp,25.70656419,-100.3145045,37
34a_shp,25.70825107,-100.3139198,38
34a_shp,25.71043092,-100.3130293,39
34a_shp,25.71405103,-100.311833,40
34b_shp,25.71663675,-100.3108406,1
34b_shp,25.72419545,-100.3081316,2
34b_shp,25.72560178,-100.3076059,3
34b_shp,25.7271579,-100.307048,4
34b_shp,25.73390892,-100.3046179,5
34b_shp,25.73393792,-100.3022146,6
34b_shp,25.7371659,-100.2981162,7
34b_shp,25.74103163,-100.294683,8
34b_shp,25.74455417,-100.2934009,9
34b_shp,25.74623809,-100.294168,10
34b_shp,25.74853562,-100.2955064,11
34b_shp,25.74970249,-100.2984837,12
34b_shp,25.75047074,-100.3010935,13
34b_shp,25.75107953,-100.3032044,14
34b_shp,25.75223188,-100.3072786,15
34b_shp,25.7472552,-100.3106797,16
34b_shp,25.7431384,-100.3122461,17
34b_shp,25.74003622,-100.3133404,18
34b_shp,25.7378714,-100.31407,19
34b_shp,25.73167634,-100.3161085,20
34b_shp,25.72409879,-100.317117,21
34b_shp,25.72299692,-100.3169882,22
34b_shp,25.72113143,-100.316956,23
